titles,mrps,discount_percentages,current_prices,images,asins,categories,descriptions,ratings,domains
"Customized/Personalized Water Bottle | Stainless Steel Water Bottle with Led Temperature Display, Double Wall Vacuum Flask Insulated Sports Water Bottle, Stay Hot & Cold for 12 Hrs (Black - 500 ML)",₹799,-50%,₹399,https://m.media-amazon.com/images/I/41fC+558tWL._SX300_SY300_.jpg,B0D6GPD7YS,"['Home & Kitchen', 'Water Bottles']","['Body Material: Made of Stainless Steel , Lid Material : Plastic;Capacity : 500ml<br> Lightweight material, Compact, cylindrical design makes carrying the bottle easy and pleasant wherever you go.;This Water bottle is perfect for Gym, Fitness, Indoor & Outdoor Sports, Cycling, Hiking, Travelling etc.', 'Premium Quality Travel Mug: Our flasks is constructed with rust-resistant (18/8) food-grade stainless steel body, a material lauded for its durability. The powder coating paint treatment makes the bottle virtually durable scratch resistant.', 'Superior Insulation: Double walled vacuum sealed construction made from metal and stainless steel, helps the bottle to retain the heat. Sports screw lid cap for detox and helps to maintain the temperature up to 12 hrs.', ""High temperature resistant bottle is made of pure borosilicate glass which allows high maximum temperatures of typically about 500 °C (932 °F). It's thermal shock and heat resistant. Great for boiling water and cold water."", 'Compatible Use-Friendly: Our cute spill proof mini smart portable thermos is designed for men, women, kids for drinking tea, coffee, milk, juice, soup drink etc. Best for kitchen, travelling, gym, office, home and special birthday gift.', 'Environmentally-Friendly: These portable perfect size teapot with amazing warm color keep yourself hydro, stay cool for hours and enjoy every sip of your beverage. BPA free, leak proof. Say no to one-time use cups with these reusable insulated bottles.']",4.0,www.amazon.in
MVTK Assassin's Creed Origins - Standard Edition | PC Code - Ubisoft Connect,Currently unavailable.,NULL,Currently unavailable.,https://m.media-amazon.com/images/I/51p2R2RAaEL._SX300_SY300_QL70_ML2_.jpg,B0DCT4F8GN,"['Video Games', 'Legacy Systems']","[""Assassin's Creed Origins: Over 50 E3 awards and nominations."", 'Assassin’s Creed Origins is a new beginning.', 'Ubisoft Connect account required to download and install.', 'How to Claim: Open Ubisoft Connect (PC), select three lines icon in top left corner, choose “Activate a Key,” enter key in “Activation Code” field, select “Activate,” and your game will be available on the “Games” tab', 'This product is non-returnable and non-refundable.']",5.0,www.amazon.in
Assassin’s Creed: The Ezio Collection (PS4),"₹1,599",-38%,₹999,https://m.media-amazon.com/images/I/51rWA6migWL._SX300_SY300_QL70_FMwebp_.jpg,B01N8REF82,"['Video Games', 'PlayStation 4 Games']","[""Live Ezio's Complete Life Story: Play as Ezio, the most celebrated and iconic Assassin in the Assassin's Creed franchise"", 'Join him on his journey from a young man to the most legendary leader of the Assassin Brotherhood', 'Follow him in his final quest for discovery and revelation through all single-player campaigns and single-player add-on content from the three collected games', 'Enhanced for the New Generation: Experience these three classics with greater hardware capabilities and processing power, bringing the stories and immersion to life with enhanced graphics and post-processing techniques', ""Exciting Game Content and Bonus Films: Learn more about Ezio's life with the complete Assassin's Creed Lineage and Assassin's Creed Embers short films included""]",4.4,www.amazon.in
CD Project Red Cyberpunk 2077 - Phantom Liberty | Ultimate Edition | PlayStation 5,"₹3,999",-27%,"₹2,939",https://m.media-amazon.com/images/I/51a8SThX29L._SX300_SY300_QL70_FMwebp_.jpg,B0CP8143HY,"['Video Games', 'PlayStation 5 Games']","['CREATE YOUR OWN CYBERPUNK Become an urban outlaw equipped with cybernetic enhancements and build your legend on the streets of Night City.', 'EXPLORE THE CITY OF THE FUTURE Night City is packed to the brim with things to do, places to see, and people to meet. And it s up to you where to go, when to go, and how to get there.', 'BUILD YOUR LEGEND Go on daring adventures and build relationships with unforgettable characters whose fates are shaped by the choices you make.', 'DECIDE HOW THE STORY ENDS Your choices in the base game and the spy-thriller adventure Phantom Liberty create interweaving webs of consequences, ones that shape the fate of the characters around you - and your own.; CLAIM EXCLUSIVE ITEMS Claim in-game swag & digital goodies inspired by CD PROJEKT RED games as part of the My Rewards program.', 'Operating System: Windows 10; Unit Count Type: Count; Unit Count: 1.0; Color Name: White']",4.8,www.amazon.in
BRUTON Exclusive Trendy Sports Running Shoes | Casual Shoe | Sneakers for Men's & Boy's,"₹1,299",-79%,₹279,https://m.media-amazon.com/images/I/41yT5D25evL._SX395_SY395_.jpg,B0B2JLGKPT,"['Shoes & Handbags', ""Men's Running Shoes""]",NULL,3.0,www.amazon.in
FYLTR Men's Regular Fit Shirt - Dobby Self Design| Full Sleeve | Functional Patch Pocket | White Formal Shirts for Men,"₹1,299",-66%,₹439,https://m.media-amazon.com/images/I/3182H4E6BeL._SY445_SX342_.jpg,B0CYLTYJXR,"['Clothing & Accessories', ""Men's Shirts""]","[""Welcome to FYLTR – a new line of casual clothing, featuring only solid colors. We believe that solid colors are more than just a fashion choice, they represent a mindset - a bold statement of timeless elegance. FYLTR is designed for those who appreciate the simplicity and sophistication of solids, and we're proud to be different. We're not here for prints or checks, and we never will be. Our brand is for those who want to join the solids bandwagon and make a bold statement with unwavering confidence. Explore our range of solid-colored casuals for both men and women and experience the unmatched sophistication of FYLTR.""]",4.8,www.amazon.in
"PS Signature 41inch RoseWood Acoustic Guitar, Free 1 set Strings, 3 Picks, Bag & Belt)",Currently unavailable.,NULL,Currently unavailable.,https://m.media-amazon.com/images/I/51MJpN2WrQL._SX300_SY300_QL70_FMwebp_.jpg,B0CK9822R4,"['Musical Instruments', 'Acoustic Guitar Kits']","['Rosewood Color Guitar, Number of Frets: 21, Acoustic Guitar with Bag, 1 Set Strings & 3 Picks', 'Great looks with an innovative design to produce good quality sound', 'Finger board: Rose Wood, Fretboard - Rose Wood', 'Included components: Acoustic Guitar with Bag, 1 Set Strings and 3 Picks', '41-inch guitar', 'Country of Origin: India', 'guitar_bridge_system: adjustable']",5.0,www.amazon.in
"Boldfit Basketball Size 7 Professional Basket Ball for Indoor-Outdoor Training Basketball for Players with Free-Air Needle Best Basketball Match Ball for Kids, Men Swish King No 7, Brown","₹1,499",-57%,₹649,https://m.media-amazon.com/images/I/41oeKc52z+L._SY300_SX300_.jpg,B0BQMH3HK4,"['Sports, Fitness & Outdoors', 'Basketballs']","['DURABILITY - Our Boldfit swish king basketball has the quality which works on any wooden and concrete courts, It is a long lasting equipment owing to its ultra durable covering.', 'GRIP : These basketballs have superior grip which makes it more convenient to play, as the basketball size 7 provides tenacious grip and friction with minimal slip.', 'WATER RESISTANT : Our basketball is water resistant which makes it suitable for playing during rain as well as it becomes easy to wash.', 'MATERIAL : Rubber | Core/Bladder Material :Synthetic Rubber | Construction Type : Moulded which allows precise ball control', 'PREVENTS FROM DUST & DIRT : Our Dunkmaster basketball pattern is designed in such a way that it helps prevent dust and dirt deposits.']",4.3,www.amazon.in
Shocknshop Digital Sports Multi Functional Black Dial Watch for Mens Boys -315RED,"₹1,119",-78%,₹249,https://m.media-amazon.com/images/I/514Q-+fQl0L._SY300_SX300_.jpg,B099ZNZJMW,"['Watches', ""Men's Wrist Watches""]",NULL,3.9,www.amazon.in
"Xivip AW720H Audio Aux Cable,Detachable Gaming Headset Cable Compatible with Alienware AW310H AW510H 988 Alienware Dell Gaming Headset,Inline Mute Switch&Volume Controller(Nylon Braided 4.9ft,Red)",Currently unavailable.,NULL,Currently unavailable.,https://images-na.ssl-images-amazon.com/images/I/51UqnDdXzXL._SY445_SX342_QL70_FMwebp_.jpg,B0CYZHDT2B,NULL,"['【3.5mm to 3.5mm Jack Aux Cord】This replacement auxiliary Cable can easy to connect your headphone to Speaker,Xbox One,PS4 Controllers,Switch, Mix Amp,or other 3.5mm device.', '【Inline Mute & Volume Control】The 3.5mm auxiliary cable with inline mute and volume control can easy to use in gaming, listening to music and watching movies.', '【Universal Compatibility】This headphone cable is compatible with Alienware AW310H AW510H AW720H AW920H 988 Alienware Dell Gaming Headset,Logitech G633 G933 Gaming Headset.', '【Hi-Fi Sound Quality】This headphone aux cable is polished 24K gold-plated connectors ensure reliability and eliminate signal loss and noise possible, offer clear and stereo sound to your devices.', '【4.9ft Nylon Braided Cable】This red audio cable is 4.9ft.And adopt Nylon material can withstand 10,000+ bending tests.']",5.0,www.amazon.in
